infoType,title,link,stars,totalRatings,price,weight,rank,description,brand,colors,Color,RGB
base,"L'oreal Paris Hair Color Feria Multi-faceted Shimmering Permanent Coloring, Smokey Silver, 1 Count",https://www.amazon.com/Paris-Multi-faceted-Shimmering-Permanent-Coloring/dp/B07JFD7D32,3.8,"1,356",8.97,,"4,562","With L'Oreal Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by fashion, Feria offers a twist on the traditional and gives edgy hair color - from bright red, platinum blonde, rose gold, metallic brown, to blue black hair color, these hair dye kits will transform your hair. Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades - no appointment necessary. The Power Shimmer Conditioner seals and smooths. Won't wreck or ravage hair. Packaging may vary, what you receive may not be what is reflected on site.
				    ",L'oreal,"['Pure Diamond', 'Icy Blonde Ultra Cool Blonde', 'Bleach Blonding Extra Bleach Blonde', 'Starry Night', 'Espresso', 'Espresso Deeply Brown', 'Crushed Garnet', 'Downtown Denim', 'Brazilian Brown Bronzed Brown', 'Purple Smoke', 'Bronze Shimmer', 'Sparkling Amber', 'Dusty Mauve', 'Golden Sunset Dark Golden Blonde', 'Downtown Brown', 'Downtown Brown Hi-Lift Cool Brown', 'Intense Copper', 'Cherry', 'Platnium', 'Roast', 'Midnight Violet', 'Intense Deep Auburn', 'Red Velvet Intense Deep Auburn', 'Intense Medium Auburn', 'Ruby Rush Rich Auburn True Red', 'Gold', 'Smoke', 'Silver', 'Violet Noir', 'Violet Noir Intense Deep Violet', 'Violet Vixen Intense Medium Violet', 'Platinum']",Pure Diamond,NULL
base,"L'oreal Paris Hair Color Feria Multi-faceted Shimmering Permanent Coloring, Smokey Silver, 1 Count",https://www.amazon.com/Paris-Multi-faceted-Shimmering-Permanent-Coloring/dp/B07JFD7D32,3.8,"1,356",8.97,,"4,562","With L'Oreal Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by fashion, Feria offers a twist on the traditional and gives edgy hair color - from bright red, platinum blonde, rose gold, metallic brown, to blue black hair color, these hair dye kits will transform your hair. Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades - no appointment necessary. The Power Shimmer Conditioner seals and smooths. Won't wreck or ravage hair. Packaging may vary, what you receive may not be what is reflected on site.
				    ",L'oreal,"['Pure Diamond', 'Icy Blonde Ultra Cool Blonde', 'Bleach Blonding Extra Bleach Blonde', 'Starry Night', 'Espresso', 'Espresso Deeply Brown', 'Crushed Garnet', 'Downtown Denim', 'Brazilian Brown Bronzed Brown', 'Purple Smoke', 'Bronze Shimmer', 'Sparkling Amber', 'Dusty Mauve', 'Golden Sunset Dark Golden Blonde', 'Downtown Brown', 'Downtown Brown Hi-Lift Cool Brown', 'Intense Copper', 'Cherry', 'Platnium', 'Roast', 'Midnight Violet', 'Intense Deep Auburn', 'Red Velvet Intense Deep Auburn', 'Intense Medium Auburn', 'Ruby Rush Rich Auburn True Red', 'Gold', 'Smoke', 'Silver', 'Violet Noir', 'Violet Noir Intense Deep Violet', 'Violet Vixen Intense Medium Violet', 'Platinum']",Icy Blonde Ultra Cool Blonde,NULL
base,"L'oreal Paris Hair Color Feria Multi-faceted Shimmering Permanent Coloring, Smokey Silver, 1 Count",https://www.amazon.com/Paris-Multi-faceted-Shimmering-Permanent-Coloring/dp/B07JFD7D32,3.8,"1,356",8.97,,"4,562","With L'Oreal Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by fashion, Feria offers a twist on the traditional and gives edgy hair color - from bright red, platinum blonde, rose gold, metallic brown, to blue black hair color, these hair dye kits will transform your hair. Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades - no appointment necessary. The Power Shimmer Conditioner seals and smooths. Won't wreck or ravage hair. Packaging may vary, what you receive may not be what is reflected on site.
				    ",L'oreal,"['Pure Diamond', 'Icy Blonde Ultra Cool Blonde', 'Bleach Blonding Extra Bleach Blonde', 'Starry Night', 'Espresso', 'Espresso Deeply Brown', 'Crushed Garnet', 'Downtown Denim', 'Brazilian Brown Bronzed Brown', 'Purple Smoke', 'Bronze Shimmer', 'Sparkling Amber', 'Dusty Mauve', 'Golden Sunset Dark Golden Blonde', 'Downtown Brown', 'Downtown Brown Hi-Lift Cool Brown', 'Intense Copper', 'Cherry', 'Platnium', 'Roast', 'Midnight Violet', 'Intense Deep Auburn', 'Red Velvet Intense Deep Auburn', 'Intense Medium Auburn', 'Ruby Rush Rich Auburn True Red', 'Gold', 'Smoke', 'Silver', 'Violet Noir', 'Violet Noir Intense Deep Violet', 'Violet Vixen Intense Medium Violet', 'Platinum']",Bleach Blonding Extra Bleach Blonde,NULL
base,"L'oreal Paris Hair Color Feria Multi-faceted Shimmering Permanent Coloring, Smokey Silver, 1 Count",https://www.amazon.com/Paris-Multi-faceted-Shimmering-Permanent-Coloring/dp/B07JFD7D32,3.8,"1,356",8.97,,"4,562","With L'Oreal Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by fashion, Feria offers a twist on the traditional and gives edgy hair color - from bright red, platinum blonde, rose gold, metallic brown, to blue black hair color, these hair dye kits will transform your hair. Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades - no appointment necessary. The Power Shimmer Conditioner seals and smooths. Won't wreck or ravage hair. Packaging may vary, what you receive may not be what is reflected on site.
				    ",L'oreal,"['Pure Diamond', 'Icy Blonde Ultra Cool Blonde', 'Bleach Blonding Extra Bleach Blonde', 'Starry Night', 'Espresso', 'Espresso Deeply Brown', 'Crushed Garnet', 'Downtown Denim', 'Brazilian Brown Bronzed Brown', 'Purple Smoke', 'Bronze Shimmer', 'Sparkling Amber', 'Dusty Mauve', 'Golden Sunset Dark Golden Blonde', 'Downtown Brown', 'Downtown Brown Hi-Lift Cool Brown', 'Intense Copper', 'Cherry', 'Platnium', 'Roast', 'Midnight Violet', 'Intense Deep Auburn', 'Red Velvet Intense Deep Auburn', 'Intense Medium Auburn', 'Ruby Rush Rich Auburn True Red', 'Gold', 'Smoke', 'Silver', 'Violet Noir', 'Violet Noir Intense Deep Violet', 'Violet Vixen Intense Medium Violet', 'Platinum']",Starry Night,NULL
base,"L'oreal Paris Hair Color Feria Multi-faceted Shimmering Permanent Coloring, Smokey Silver, 1 Count",https://www.amazon.com/Paris-Multi-faceted-Shimmering-Permanent-Coloring/dp/B07JFD7D32,3.8,"1,356",8.97,,"4,562","With L'Oreal Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by fashion, Feria offers a twist on the traditional and gives edgy hair color - from bright red, platinum blonde, rose gold, metallic brown, to blue black hair color, these hair dye kits will transform your hair. Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades - no appointment necessary. The Power Shimmer Conditioner seals and smooths. Won't wreck or ravage hair. Packaging may vary, what you receive may not be what is reflected on site.
				    ",L'oreal,"['Pure Diamond', 'Icy Blonde Ultra Cool Blonde', 'Bleach Blonding Extra Bleach Blonde', 'Starry Night', 'Espresso', 'Espresso Deeply Brown', 'Crushed Garnet', 'Downtown Denim', 'Brazilian Brown Bronzed Brown', 'Purple Smoke', 'Bronze Shimmer', 'Sparkling Amber', 'Dusty Mauve', 'Golden Sunset Dark Golden Blonde', 'Downtown Brown', 'Downtown Brown Hi-Lift Cool Brown', 'Intense Copper', 'Cherry', 'Platnium', 'Roast', 'Midnight Violet', 'Intense Deep Auburn', 'Red Velvet Intense Deep Auburn', 'Intense Medium Auburn', 'Ruby Rush Rich Auburn True Red', 'Gold', 'Smoke', 'Silver', 'Violet Noir', 'Violet Noir Intense Deep Violet', 'Violet Vixen Intense Medium Violet', 'Platinum']",Espresso,NULL
base,"L'oreal Paris Hair Color Feria Multi-faceted Shimmering Permanent Coloring, Smokey Silver, 1 Count",https://www.amazon.com/Paris-Multi-faceted-Shimmering-Permanent-Coloring/dp/B07JFD7D32,3.8,"1,356",8.97,,"4,562","With L'Oreal Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by fashion, Feria offers a twist on the traditional and gives edgy hair color - from bright red, platinum blonde, rose gold, metallic brown, to blue black hair color, these hair dye kits will transform your hair. Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades - no appointment necessary. The Power Shimmer Conditioner seals and smooths. Won't wreck or ravage hair. Packaging may vary, what you receive may not be what is reflected on site.
				    ",L'oreal,"['Pure Diamond', 'Icy Blonde Ultra Cool Blonde', 'Bleach Blonding Extra Bleach Blonde', 'Starry Night', 'Espresso', 'Espresso Deeply Brown', 'Crushed Garnet', 'Downtown Denim', 'Brazilian Brown Bronzed Brown', 'Purple Smoke', 'Bronze Shimmer', 'Sparkling Amber', 'Dusty Mauve', 'Golden Sunset Dark Golden Blonde', 'Downtown Brown', 'Downtown Brown Hi-Lift Cool Brown', 'Intense Copper', 'Cherry', 'Platnium', 'Roast', 'Midnight Violet', 'Intense Deep Auburn', 'Red Velvet Intense Deep Auburn', 'Intense Medium Auburn', 'Ruby Rush Rich Auburn True Red', 'Gold', 'Smoke', 'Silver', 'Violet Noir', 'Violet Noir Intense Deep Violet', 'Violet Vixen Intense Medium Violet', 'Platinum']",Espresso Deeply Brown,NULL
base,"L'oreal Paris Hair Color Feria Multi-faceted Shimmering Permanent Coloring, Smokey Silver, 1 Count",https://www.amazon.com/Paris-Multi-faceted-Shimmering-Permanent-Coloring/dp/B07JFD7D32,3.8,"1,356",8.97,,"4,562","With L'Oreal Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by fashion, Feria offers a twist on the traditional and gives edgy hair color - from bright red, platinum blonde, rose gold, metallic brown, to blue black hair color, these hair dye kits will transform your hair. Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades - no appointment necessary. The Power Shimmer Conditioner seals and smooths. Won't wreck or ravage hair. Packaging may vary, what you receive may not be what is reflected on site.
				    ",L'oreal,"['Pure Diamond', 'Icy Blonde Ultra Cool Blonde', 'Bleach Blonding Extra Bleach Blonde', 'Starry Night', 'Espresso', 'Espresso Deeply Brown', 'Crushed Garnet', 'Downtown Denim', 'Brazilian Brown Bronzed Brown', 'Purple Smoke', 'Bronze Shimmer', 'Sparkling Amber', 'Dusty Mauve', 'Golden Sunset Dark Golden Blonde', 'Downtown Brown', 'Downtown Brown Hi-Lift Cool Brown', 'Intense Copper', 'Cherry', 'Platnium', 'Roast', 'Midnight Violet', 'Intense Deep Auburn', 'Red Velvet Intense Deep Auburn', 'Intense Medium Auburn', 'Ruby Rush Rich Auburn True Red', 'Gold', 'Smoke', 'Silver', 'Violet Noir', 'Violet Noir Intense Deep Violet', 'Violet Vixen Intense Medium Violet', 'Platinum']",Crushed Garnet,NULL
base,"L'oreal Paris Hair Color Feria Multi-faceted Shimmering Permanent Coloring, Smokey Silver, 1 Count",https://www.amazon.com/Paris-Multi-faceted-Shimmering-Permanent-Coloring/dp/B07JFD7D32,3.8,"1,356",8.97,,"4,562","With L'Oreal Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by fashion, Feria offers a twist on the traditional and gives edgy hair color - from bright red, platinum blonde, rose gold, metallic brown, to blue black hair color, these hair dye kits will transform your hair. Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades - no appointment necessary. The Power Shimmer Conditioner seals and smooths. Won't wreck or ravage hair. Packaging may vary, what you receive may not be what is reflected on site.
				    ",L'oreal,"['Pure Diamond', 'Icy Blonde Ultra Cool Blonde', 'Bleach Blonding Extra Bleach Blonde', 'Starry Night', 'Espresso', 'Espresso Deeply Brown', 'Crushed Garnet', 'Downtown Denim', 'Brazilian Brown Bronzed Brown', 'Purple Smoke', 'Bronze Shimmer', 'Sparkling Amber', 'Dusty Mauve', 'Golden Sunset Dark Golden Blonde', 'Downtown Brown', 'Downtown Brown Hi-Lift Cool Brown', 'Intense Copper', 'Cherry', 'Platnium', 'Roast', 'Midnight Violet', 'Intense Deep Auburn', 'Red Velvet Intense Deep Auburn', 'Intense Medium Auburn', 'Ruby Rush Rich Auburn True Red', 'Gold', 'Smoke', 'Silver', 'Violet Noir', 'Violet Noir Intense Deep Violet', 'Violet Vixen Intense Medium Violet', 'Platinum']",Downtown Denim,NULL
base,"L'oreal Paris Hair Color Feria Multi-faceted Shimmering Permanent Coloring, Smokey Silver, 1 Count",https://www.amazon.com/Paris-Multi-faceted-Shimmering-Permanent-Coloring/dp/B07JFD7D32,3.8,"1,356",8.97,,"4,562","With L'Oreal Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by fashion, Feria offers a twist on the traditional and gives edgy hair color - from bright red, platinum blonde, rose gold, metallic brown, to blue black hair color, these hair dye kits will transform your hair. Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades - no appointment necessary. The Power Shimmer Conditioner seals and smooths. Won't wreck or ravage hair. Packaging may vary, what you receive may not be what is reflected on site.
				    ",L'oreal,"['Pure Diamond', 'Icy Blonde Ultra Cool Blonde', 'Bleach Blonding Extra Bleach Blonde', 'Starry Night', 'Espresso', 'Espresso Deeply Brown', 'Crushed Garnet', 'Downtown Denim', 'Brazilian Brown Bronzed Brown', 'Purple Smoke', 'Bronze Shimmer', 'Sparkling Amber', 'Dusty Mauve', 'Golden Sunset Dark Golden Blonde', 'Downtown Brown', 'Downtown Brown Hi-Lift Cool Brown', 'Intense Copper', 'Cherry', 'Platnium', 'Roast', 'Midnight Violet', 'Intense Deep Auburn', 'Red Velvet Intense Deep Auburn', 'Intense Medium Auburn', 'Ruby Rush Rich Auburn True Red', 'Gold', 'Smoke', 'Silver', 'Violet Noir', 'Violet Noir Intense Deep Violet', 'Violet Vixen Intense Medium Violet', 'Platinum']",Brazilian Brown Bronzed Brown,NULL
base,"L'oreal Paris Hair Color Feria Multi-faceted Shimmering Permanent Coloring, Smokey Silver, 1 Count",https://www.amazon.com/Paris-Multi-faceted-Shimmering-Permanent-Coloring/dp/B07JFD7D32,3.8,"1,356",8.97,,"4,562","With L'Oreal Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by fashion, Feria offers a twist on the traditional and gives edgy hair color - from bright red, platinum blonde, rose gold, metallic brown, to blue black hair color, these hair dye kits will transform your hair. Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades - no appointment necessary. The Power Shimmer Conditioner seals and smooths. Won't wreck or ravage hair. Packaging may vary, what you receive may not be what is reflected on site.
				    ",L'oreal,"['Pure Diamond', 'Icy Blonde Ultra Cool Blonde', 'Bleach Blonding Extra Bleach Blonde', 'Starry Night', 'Espresso', 'Espresso Deeply Brown', 'Crushed Garnet', 'Downtown Denim', 'Brazilian Brown Bronzed Brown', 'Purple Smoke', 'Bronze Shimmer', 'Sparkling Amber', 'Dusty Mauve', 'Golden Sunset Dark Golden Blonde', 'Downtown Brown', 'Downtown Brown Hi-Lift Cool Brown', 'Intense Copper', 'Cherry', 'Platnium', 'Roast', 'Midnight Violet', 'Intense Deep Auburn', 'Red Velvet Intense Deep Auburn', 'Intense Medium Auburn', 'Ruby Rush Rich Auburn True Red', 'Gold', 'Smoke', 'Silver', 'Violet Noir', 'Violet Noir Intense Deep Violet', 'Violet Vixen Intense Medium Violet', 'Platinum']",Purple Smoke,NULL
